Country,Total Production (tonnes),Average Annual Production (tonnes)
Spain,14515.0,1209.5833333333333
Italy,3899.0,324.9166666666667
Greece,3137.9,261.4916666666667
Türkiye,2599.0,216.58333333333334
Tunisia,2592.0,216.0
Morocco,1638.0,136.5
Syria,1514.0,126.16666666666667
Portugal,1359.0,113.25
Algeria,963.5,80.29166666666667
Egypt,401.5,33.458333333333336
Argentina,366.0,30.5
Jordan,288.0,24.0
Palestine,248.0,20.666666666666668
Chile,232.5,19.375
Lebanon,226.0,18.833333333333332
Israel,217.5,18.125
Australia,213.0,17.75
Libya,198.0,16.5
Albania,177.0,14.75
USA,153.5,12.791666666666666
Saudi Arabia,93.5,7.791666666666667
Iran,93.5,7.791666666666667
Cyprus,59.3,4.941666666666666
France,56.0,4.666666666666667
Croatia,46.8,3.9
Montenegro,6.0,0.5
Slovenia,5.9,0.4916666666666667
